,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,link,created_at,tweet_type,user.screen_name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,hrisk_img,relevant,forecast,text,user.name,id.trunc
10,10,10,10.0,898185136772194305,http://twitter.com/TWCBryan/statuses/898185136772194305,2017-08-17 14:09:58+00:00,original_tweet,twcbryan,349785521,40,7364,False,2011-08-06T17:57:17.000Z,"Miami, FL",photo,"['http://pbs.twimg.com/media/DHb-FiAWsAAEw1H.jpg', 'http://pbs.twimg.com/media/DHb-HZHXsAAtuKm.jpg', 'http://pbs.twimg.com/media/DHb-JgMXoAEpH2p.jpg', 'http://pbs.twimg.com/media/DHb-LcnXYAA11Sx.jpg']",,yes,no,no,"25 years ago today - 11 AM August 17, 1992 - Tropical Storm Andrew was named. It was just over 2500 miles from Miam… https://t.co/ePyjG28ybo",Bryan Norcross,
11,11,11,11.0,898194416728506371,http://twitter.com/NHC_Atlantic/statuses/898194416728506371,2017-08-17 14:46:51+00:00,original_tweet,nhc_atlantic,299798272,0,265300,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHcHCmbW0AAF3X_.jpg'],,yes,yes,yes,Tropical Storm Warning in effect for portions of the Windward Islands for Potential Tropical Cyclone #Nine… https://t.co/nsWjjGQ80f,NHC Atlantic Ops,
12,12,12,12.0,898194762653741056,http://twitter.com/BrooksKHOU/statuses/898194762653741056,2017-08-17 14:48:13+00:00,original_tweet,brookskhou,28857255,1428,10479,True,2009-04-04T19:48:42.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DHcHX4KUwAAfCEI.jpg'],,yes,yes,yes,The NHC is issuing advisories on what they expect to become a tropical cyclone later today. Harvey is the next name… https://t.co/dwOowzLjK8,Brooks Garner,
13,13,13,13.0,898200682791976960,http://twitter.com/weatherchannel/statuses/898200682791976960,2017-08-17 15:11:45+00:00,original_tweet,weatherchannel,20998647,6335,2900073,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHcMwqFV0AA9Smq.jpg'],,yes,yes,yes,Potential Tropical Cyclone Nine is heading toward the Windward Islands. Tropical storm watches and warnings issued:… https://t.co/9RINJS9mHT,The Weather Channel,
14,14,14,14.0,898204310076407808,http://twitter.com/WeatherNation/statuses/898204310076407808,2017-08-17 15:26:10+00:00,original_tweet,weathernation,25531732,3851,129043,True,2009-03-20T16:42:05.000Z,,video,['https://video.twimg.com/ext_tw_video/898203719640031232/pu/vid/320x180/vgzkNDRBO9jp4jzY.mp4'],"Colorado, USA",yes,yes,no,"At look at PTC-9 from GOES-16, IR and VIS Satellite Blend.  Awesome Detail of storm development!  #Goes16… https://t.co/lW8v2VaxZv",WeatherNation,
15,15,15,15.0,898207868222140418,http://twitter.com/breakingweather/statuses/898207868222140418,2017-08-17 15:40:18+00:00,original_tweet,breakingweather,19071682,2013,843304,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHcTSzEV0AA3UVv.jpg'],,yes,yes,yes,"2 of 3 tropical systems in the Atlantic will approach the Caribbean, Central America and the US in the coming days:… https://t.co/rP50FhwQ0l",AccuWeather,
16,16,16,16.0,898212932831502336,http://twitter.com/wunderground/statuses/898212932831502336,2017-08-17 16:00:25+00:00,original_tweet,wunderground,15740491,479,390794,True,2008-08-05T19:28:25.000Z,"San Francisco, CA",photo,['http://pbs.twimg.com/media/DHcX5s0VoAAtVM0.jpg'],,yes,yes,yes,"Potential Tropical Cyclone Nine Nearing Windward Islands; Tropical Storm Watches, Warnings Issued… https://t.co/CGAEbJShWh",Weather Underground,
17,17,17,17.0,898224390797742081,http://twitter.com/GregPostel/statuses/898224390797742081,2017-08-17 16:45:57+00:00,original_tweet,gregpostel,872355266,682,41412,True,2012-10-10T19:14:44.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHch52RXkAA63Zu.jpg'],,yes,yes,yes,"Air Force recon on their way to ""Potential Tropical Cyclone 9"" (earlier known as ""Invest 91L"")  Either way, prob so… https://t.co/RqdDeKW9vu",Greg Postel,
18,18,18,18.0,898224649565335552,http://twitter.com/StuOstro/statuses/898224649565335552,2017-08-17 16:46:59+00:00,original_tweet,stuostro,148435933,1171,161695,True,2010-05-26T17:57:38.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHch7-lXoAEI6B-.jpg'],,yes,yes,no,#PTC9 has classic look of developing tropical system from Atlantic tracking to #Caribbean; gusty winds &amp; hvy rain h… https://t.co/7ZXIK55MBH,Stu Ostro,
19,19,19,19.0,898235499067736064,http://twitter.com/wunderground/statuses/898235499067736064,2017-08-17 17:30:06+00:00,original_tweet,wunderground,15740491,479,390799,True,2008-08-05T19:28:25.000Z,"San Francisco, CA",photo,['http://pbs.twimg.com/media/DHcsbOMUIAAAMKL.jpg'],,yes,yes,yes,The Lesser Antilles may be dealing with a tropical storm on Friday--and two other systems are in line behind it… https://t.co/ot6WtDxUfY,Weather Underground,
20,20,20,20.0,898236888787677184,http://twitter.com/TTrogdon/statuses/898236888787677184,2017-08-17 17:35:37+00:00,original_tweet,ttrogdon,525249617,1025,2789,False,2012-03-15T10:38:49.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHctr43W0AEeExg.jpg'],,yes,yes,no,Notice the impressive upper level low near the Dominican Republic. Not resolved well in models but this could bring… https://t.co/47CTiyMTgk,Taylor Trogdon,
21,21,21,21.0,898245125414977536,http://twitter.com/breakingweather/statuses/898245125414977536,2017-08-17 18:08:21+00:00,original_tweet,breakingweather,19071682,2013,843350,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHc1LfvXYAAkIzx.jpg'],,yes,no,no,"As #Gert continues to weaken across the Atlantic, it will eventually bring impacts to the UK:… https://t.co/M3IqEpV49O",AccuWeather,
22,22,22,22.0,898261655947051009,http://twitter.com/TTrogdon/statuses/898261655947051009,2017-08-17 19:14:02+00:00,original_tweet,ttrogdon,525249617,1025,2789,False,2012-03-15T10:38:49.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHdEGY-WAAALgiY.jpg'],,yes,no,no,Even open waves that manage to sneak into the Bahamian region worry me during peak hurricane season. Lots of suppor… https://t.co/3iVLuTwMvD,Taylor Trogdon,
23,23,23,23.0,898276817714388992,http://twitter.com/weatherchannel/statuses/898276817714388992,2017-08-17 20:14:17+00:00,original_tweet,weatherchannel,20998647,6335,2900560,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHdSASzVoAAXbFL.jpg'],,yes,no,no,10 years later: Two Category 5 Atlantic Basin landfalls for the first and only time: https://t.co/JsNjsePEpy #Dean… https://t.co/3Z9VoXrsUH,The Weather Channel,
24,24,24,24.0,898287184083525632,http://twitter.com/weatherchannel/statuses/898287184083525632,2017-08-17 20:55:28+00:00,original_tweet,weatherchannel,20998647,6335,2900659,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHdbbluUQAAmSO1.jpg'],,yes,yes,yes,Tropical Storm Harvey forms east of the Windward Islands. Tropical storm conditions expected to arrive early Friday… https://t.co/3E3tr0P0CE,The Weather Channel,
25,25,25,25.0,898287575324131329,http://twitter.com/breakingweather/statuses/898287575324131329,2017-08-17 20:57:01+00:00,original_tweet,breakingweather,19071682,2013,843384,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHdbyb4WAAA4NzO.jpg'],,yes,yes,yes,Tropical Storm #Harvey has developed in the Atlantic Ocean and may become a hurricane in the coming days. Details:… https://t.co/m8PTgKhpOH,AccuWeather,
26,26,26,26.0,898293317250686976,http://twitter.com/NWSBrownsville/statuses/898293317250686976,2017-08-17 21:19:50+00:00,original_tweet,nwsbrownsville,590190799,1180,7975,True,2012-05-25T17:57:42.000Z,"Brownsville, Texas",photo,['http://pbs.twimg.com/media/DHdg_jzXYAg_8Sf.jpg'],,yes,yes,yes,"Tropical Storm Harvey, developed this afternoon, here is the latest on Harvey and its projected cone over the next… https://t.co/e1zrKEGZD2",NWS Brownsville,
27,27,27,27.0,898295796038197248,http://twitter.com/mikebettes/statuses/898295796038197248,2017-08-17 21:29:41+00:00,original_tweet,mikebettes,32567081,565,344520,True,2009-04-17T20:32:33.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHdjQZcXYAAE69X.jpg'],,yes,yes,no,Tropical Storm #Harvey has formed. Get the latest on #WUTV &amp; why Invest 92L maybe a bigger concern for the U.S. See… https://t.co/MCH6MPRuEr,Mike Bettes,
28,28,28,28.0,898307227202670592,http://twitter.com/NHC_Atlantic/statuses/898307227202670592,2017-08-17 22:15:07+00:00,original_tweet,nhc_atlantic,299798272,0,265537,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHdtVpFXgAE-lXR.jpg'],,yes,yes,yes,"Tropical storm warnings are in effect for Martinique, St. Lucia, Barbados, and St. Vincent &amp; the Grenadines #Harvey… https://t.co/UiBSNsEta3",NHC Atlantic Ops,
29,29,29,29.0,898308748522999808,http://twitter.com/NHC_Atlantic/statuses/898308748522999808,2017-08-17 22:21:10+00:00,original_tweet,nhc_atlantic,299798272,0,265539,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHdub0EWsAEqI9Y.jpg'],,yes,yes,yes,Tropical-storm-force winds from #Harvey could begin within the warning area before or around sunrise on Friday.… https://t.co/JJzJ437B9q,NHC Atlantic Ops,
30,30,30,30.0,898309853189427201,http://twitter.com/DisasterPIO/statuses/898309853189427201,2017-08-17 22:25:33+00:00,original_tweet,disasterpio,18183134,943,3003,False,2008-12-17T05:25:08.000Z,"Houston/Harris County, TX",photo,['http://pbs.twimg.com/media/DHdwDAaUQAA1uQb.jpg'],,yes,yes,yes,Tropical Storm #Harvey forms in the Atlantic and aims for the Caribbean. Very optimistic it will be no threat to th… https://t.co/eaQm4CFiEi,Francisco Sanchez,
31,31,31,31.0,898310726514868224,http://twitter.com/ReadyHarris/statuses/898310726514868224,2017-08-17 22:29:01+00:00,original_tweet,readyharris,151730349,262,19292,True,2010-06-04T03:17:33.000Z,"Harris County, Texas",photo,['http://pbs.twimg.com/media/DHdwY_aU0AA23i0.jpg'],,yes,yes,yes,"Tropical Storm Harvey, the eighth named storm of the 2017 hurricane season, has formed in the Atlantic:… https://t.co/v9pCTEoi7g",Harris County OHSEM,
32,32,32,32.0,898311505736744960,http://twitter.com/weatherchannel/statuses/898311505736744960,2017-08-17 22:32:07+00:00,original_tweet,weatherchannel,20998647,6335,2900811,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,"['http://pbs.twimg.com/media/DHdwoG_XYAER_6_.jpg', 'http://pbs.twimg.com/media/DHdwr8iXcAA-HPJ.jpg']",,yes,yes,yes,The Windward Islands to be hit by Harvey thru Friday.  Forecast to gain strength &amp; head for Honduras to Yucatan.… https://t.co/VsCMmMaD4t,The Weather Channel,
33,33,33,33.0,898336206403977217,http://twitter.com/weatherchannel/statuses/898336206403977217,2017-08-18 00:10:16+00:00,original_tweet,weatherchannel,20998647,6335,2900932,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHeIBKuVwAAW3jl.jpg'],,yes,yes,yes,Could #Harvey stick around long enough so we have a #tropical cyclone during Monday's #Eclipse2017?… https://t.co/gLm1pIkgm8,The Weather Channel,
34,34,34,34.0,898357073427169280,http://twitter.com/BrooksKHOU/statuses/898357073427169280,2017-08-18 01:33:11+00:00,original_tweet,brookskhou,28857255,1430,10480,True,2009-04-04T19:48:42.000Z,"Houston, TX",animated_gif,['https://video.twimg.com/tweet_video/DHea974UIAAEEag.mp4'],,yes,no,no,Invest #92L out in the Atlantic could become #Irma and has a ~50/50 chance of entering the Gulf next week (though i… https://t.co/308lshdlhv,Brooks Garner,
35,35,35,35.0,898398221277437952,http://twitter.com/breakingweather/statuses/898398221277437952,2017-08-18 04:16:42+00:00,original_tweet,breakingweather,19071682,2013,843534,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHfAaz_UAAA5mhR.jpg'],,yes,no,no,Downpours will be enhanced from Cuba &amp; the Bahamas to the Florida Peninsula as tropical moisture spreads northward:… https://t.co/dyTDewbSBb,AccuWeather,
36,36,36,36.0,898495704603086848,http://twitter.com/weatherchannel/statuses/898495704603086848,2017-08-18 10:44:03+00:00,original_tweet,weatherchannel,20998647,6334,2901795,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHgZFMuVYAAksQg.jpg'],,yes,no,no,Latest Atlantic #hurricane season forecast is in and a more active season is expected than first predicted:… https://t.co/6NXi11hP9m,The Weather Channel,
37,37,37,37.0,898499525425467392,http://twitter.com/breakingweather/statuses/898499525425467392,2017-08-18 10:59:14+00:00,original_tweet,breakingweather,19071682,2013,843682,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHgcjk4XsAALJhu.jpg'],,yes,yes,yes,Tropical Storm #Harvey developed on Thursday afternoon &amp; will enter the Caribbean Sea this weekend:… https://t.co/XFRiS7iTAI,AccuWeather,
38,38,38,38.0,898507812384382977,http://twitter.com/JimCantore/statuses/898507812384382977,2017-08-18 11:32:10+00:00,original_tweet,jimcantore,21388284,2140,915876,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,animated_gif,['https://video.twimg.com/tweet_video/DHgkDjmVwAAPQwU.mp4'],,yes,yes,no,"Couple of reports from @WX1BOX from Barbados w/ #Harvey  St Nicholas Abbey - 4.4"" of rain Highclere -  2.59"" Low Ba… https://t.co/tFEMBcKhJF",Jim Cantore,
39,39,39,39.0,898509599963099136,http://twitter.com/JimCantore/statuses/898509599963099136,2017-08-18 11:39:16+00:00,original_tweet,jimcantore,21388284,2140,915877,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,animated_gif,['https://video.twimg.com/tweet_video/DHglp9_VYAUDPc7.mp4'],,yes,no,no,(1/2) #92L has been and will be the one to watch for any potential USA impact risk down the road even with unfavora… https://t.co/7IUBya6Rp9,Jim Cantore,
40,40,40,40.0,898509677276700672,http://twitter.com/JimCantore/statuses/898509677276700672,2017-08-18 11:39:35+00:00,original_tweet,jimcantore,21388284,2140,915877,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,photo,"['http://pbs.twimg.com/media/DHglyeWUAAENswk.jpg', 'http://pbs.twimg.com/media/DHglyctUAAAlb6y.jpg']",,yes,no,no,(2/2) Very good agreement on where it's going overall and not such agreement on intensity.  Not untypical though.… https://t.co/MzkWkt2asL,Jim Cantore,
41,41,41,41.0,898519850066358272,http://twitter.com/mattlanza/statuses/898519850066358272,2017-08-18 12:20:00+00:00,original_tweet,mattlanza,16752675,4136,10293,True,2008-10-15T02:25:36.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DHgkxW_UIAEx8Xg.jpg'],,yes,yes,no,"Lots to discuss @SpaceCityWX today. Details on the eclipse (in #Houston &amp; elsewhere), the tropics, and more. #houwx… https://t.co/1PMymI16qf",Matt Lanza,
42,42,42,42.0,898527667397378049,http://twitter.com/weatherchannel/statuses/898527667397378049,2017-08-18 12:51:04+00:00,original_tweet,weatherchannel,20998647,6334,2902028,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHg2JqpUQAEORfv.jpg'],,yes,yes,no,"#Harvey is bringing heavy rain, gusty winds to Windward Islands as we watch 2 other areas for possible development:… https://t.co/71w71xetO4",The Weather Channel,
43,43,43,43.0,898528098915934210,http://twitter.com/TWCBryan/statuses/898528098915934210,2017-08-18 12:52:47+00:00,original_tweet,twcbryan,349785521,41,7372,False,2011-08-06T17:57:17.000Z,"Miami, FL",photo,"['http://pbs.twimg.com/media/DHg2VTaXcAArZ4N.jpg', 'http://pbs.twimg.com/media/DHg2X56XUAYaytr.jpg', 'http://pbs.twimg.com/media/DHg2aCbXsAAS6cQ.jpg', 'http://pbs.twimg.com/media/DHg2bvAXUAAzpwk.jpg']",,yes,no,no,"25 years ago this afternoon - Aug 18, 1992 - Tropical Storm Andrew was sputtering. The NHC considered a downgrade.… https://t.co/uOfwBH33Cm",Bryan Norcross,
44,44,44,44.0,898532691234013184,http://twitter.com/GregPostel/statuses/898532691234013184,2017-08-18 13:11:02+00:00,original_tweet,gregpostel,872355266,682,41467,True,2012-10-10T19:14:44.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHg6hzBXcAAqsA6.jpg'],,yes,yes,yes,"Guidance is tightly clustered on #Harvey moving west through the weekend ... but next week, ECMWF includes a scenar… https://t.co/2BU6IYNDAH",Greg Postel,
45,45,45,45.0,898538721020182528,http://twitter.com/JimCantore/statuses/898538721020182528,2017-08-18 13:34:59+00:00,original_tweet,jimcantore,21388284,2140,915915,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,animated_gif,['https://video.twimg.com/tweet_video/DHg_zaPUMAExWTF.mp4'],,yes,yes,no,The sun sheds light on our 3 areas of interest in the tropical Atlantic led by #Harvey moving through the islands t… https://t.co/Nej1eu8Pt5,Jim Cantore,
46,46,46,46.0,898556094091587584,http://twitter.com/NWSSanAntonio/statuses/898556094091587584,2017-08-18 14:44:01+00:00,original_tweet,nwssanantonio,594749537,185,22813,True,2012-05-30T17:13:01.000Z,"New Braunfels, Texas",photo,['http://pbs.twimg.com/media/DHhP8qHVwAEDEGw.jpg'],,yes,yes,yes,"Focus &amp; attention is on the eclipse, but let's not lose sight of Tropical Storm Harvey. Too early to tell, but not… https://t.co/yXJBhAPROY",NWS San Antonio,
47,47,47,47.0,898576933096611841,http://twitter.com/wunderground/statuses/898576933096611841,2017-08-18 16:06:50+00:00,original_tweet,wunderground,15740491,479,390905,True,2008-08-05T19:28:25.000Z,"San Francisco, CA",photo,['http://pbs.twimg.com/media/DHhi9TlUIAA22QF.jpg'],,yes,yes,no,Tropical Storm Harvey Is Drenching the Windward Islands; 2 Other Areas Are Being Monitored For Tropical Development… https://t.co/LdsXLx3vtP,Weather Underground,
48,48,48,48.0,898605545493364737,http://twitter.com/breakingweather/statuses/898605545493364737,2017-08-18 18:00:31+00:00,original_tweet,breakingweather,19071682,2013,843870,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHh8-s0WAAEv02l.jpg'],,yes,yes,yes,"Tropical Storm Harvey will journey into the Caribbean Sea early next week, bringing heavy rain &amp; strong wind gusts:… https://t.co/njUITJl4Es",AccuWeather,
49,49,49,49.0,898612374386692096,http://twitter.com/NWSHouston/statuses/898612374386692096,2017-08-18 18:27:40+00:00,original_tweet,nwshouston,600958397,349,24371,True,2012-06-06T13:13:19.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DHiCZV9WsAAg61e.jpg'],,yes,yes,yes,Trop Strm Harvey wl track westward across Caribbean this weekend. Next week could cont wwd ovr land or turn NW into… https://t.co/yNAVDT075f,NWS Houston,
50,50,50,50.0,898612987807670272,http://twitter.com/wunderground/statuses/898612987807670272,2017-08-18 18:30:06+00:00,original_tweet,wunderground,15740491,479,390920,True,2008-08-05T19:28:25.000Z,"San Francisco, CA",photo,['http://pbs.twimg.com/media/DHiDv6SU0AIyLNk.jpg'],,yes,yes,yes,Tropical Storm Harvey is expected to strengthen this weekend as it moves across the Caribbean… https://t.co/3v0WpLiEy6,Weather Underground,
51,51,51,51.0,898624901577396224,http://twitter.com/NWSCorpus/statuses/898624901577396224,2017-08-18 19:17:26+00:00,original_tweet,nwscorpus,589561485,77,12946,True,2012-05-24T22:38:07.000Z,"Corpus Christi, Texas",photo,['http://pbs.twimg.com/media/DHiNxcNVoAAeCSP.jpg'],,yes,yes,yes,"Here is the latest on Tropical Storm Harvey.  Currently, the forecast takes Harvey westward across the Caribbean Se… https://t.co/lq6NVSBsNp",NWS Corpus Christi,
52,52,52,52.0,898634932867801089,http://twitter.com/EricBlake12/statuses/898634932867801089,2017-08-18 19:57:18+00:00,original_tweet,ericblake12,912858588,3418,13539,True,2012-10-29T17:20:09.000Z,"Miramar, FL",photo,"['http://pbs.twimg.com/media/DHiXtAVVwAE4n99.jpg', 'http://pbs.twimg.com/media/DHiXtAUUIAAD4gt.jpg']",,yes,yes,yes,Just a slight disagreement between the day 6 ECMWF &amp; the Canadian model- like the difference between Walden Pond an… https://t.co/6b8UYVv4u8,Eric Blake 🌀,
53,53,53,53.0,898650757561368577,http://twitter.com/weatherchannel/statuses/898650757561368577,2017-08-18 21:00:11+00:00,original_tweet,weatherchannel,20998647,6335,2902952,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHil8yhXsAMjf09.jpg'],,yes,yes,yes,Tropical Storm #Harvey has entered the Caribbean. Heavy rain threat to Central America early/mid next week:… https://t.co/FWFjlfvoEl,The Weather Channel,
54,54,54,54.0,898723421626007553,http://twitter.com/breakingweather/statuses/898723421626007553,2017-08-19 01:48:55+00:00,original_tweet,breakingweather,19071682,2013,844012,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHjoMEcW0AAVVNy.jpg'],,yes,yes,yes,"Tropical Storm Harvey will journey into the Caribbean Sea early next week, bringing heavy rain &amp; strong wind gusts:… https://t.co/PVFENymyp8",AccuWeather,
55,55,55,55.0,898864608605163520,http://twitter.com/GregPostel/statuses/898864608605163520,2017-08-19 11:09:57+00:00,original_tweet,gregpostel,872355266,682,41496,True,2012-10-10T19:14:44.000Z,"Atlanta, GA",animated_gif,['https://video.twimg.com/tweet_video/DHloZrjXcAQhT4z.mp4'],,yes,no,no,Collapsing Tstorms suggest #Invest92L has a tummy ache 🤢... vomiting out cool and dry air from its core into the bo… https://t.co/vZearSRJHY,Greg Postel,
56,56,56,56.0,898884768955105280,http://twitter.com/weatherchannel/statuses/898884768955105280,2017-08-19 12:30:04+00:00,original_tweet,weatherchannel,20998647,6333,2904103,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHl67s-UwAMyHXj.jpg'],,yes,yes,yes,Tropical Storm #Harvey is charging westward and will impact Central America and Mexico by early next week:… https://t.co/htisLimycc,The Weather Channel,
